Data,Produto,Real,Previsto
2023-11-27,Manteiga,13.7,12.516838
2025-01-24,Leite,5.45,5.5228076
2022-10-21,Feijão,7.05,7.426426
2023-12-15,Leite,4.05,4.451986
2024-03-11,Feijão,10.9,8.209404
2023-11-08,Café,14.68,21.29645
2023-09-26,Farinha,6.7,4.6940923
2023-02-27,Café,16.48,21.412243
2024-11-11,Feijão,6.79,9.292534
2024-01-23,Farinha,5.69,5.5147705
2023-11-22,Feijão,8.99,6.767791
2025-07-22,Feijão,8.99,10.791477
2023-08-16,Café,18.99,21.328106
2024-05-14,Farinha,5.98,5.9920483
2025-06-13,Leite,7.49,9.052806
2024-05-13,Manteiga,13.9,14.192803
2023-02-17,Leite,4.99,4.496027
2025-08-19,Café,43.99,24.640398
2025-05-19,Frango Peito,19.9,23.743822
2023-06-23,Manteiga,17.49,13.769764
2025-09-17,Café,33.98,22.47572
2024-02-13,Feijão,8.05,8.327488
2024-02-19,Leite,4.65,4.7790904
2024-04-19,Óleo,5.29,6.1300583
2024-09-13,Açúcar,5.29,5.2869973
2025-05-23,Café,34.98,22.964878
2023-06-12,Carne Coxão Mole,28.9,42.146606
2023-05-26,Manteiga,13.25,12.359054
2023-08-22,Açúcar,3.79,3.6523576
2023-09-26,Batata,3.59,5.225173
2023-12-15,Leite,4.99,4.451986
2022-09-21,Banana Nanica,5.99,4.989587
2025-06-10,Óleo,6.99,10.067121
2025-06-20,Feijão,5.8,9.324668
2025-04-16,Açúcar,4.49,6.192477
2023-07-18,Pão,16.99,15.1841955
2025-03-17,Açúcar,4.99,6.2994165
2024-12-20,Leite,4.49,5.9173546
2023-09-18,Café,16.95,21.10981
2025-05-20,Macarrão,4.19,5.7324862
2024-08-13,Leite,4.99,5.779657
2024-12-20,Feijão,6.95,8.770407
2025-06-13,Óleo,10.99,11.004219
2024-10-15,Manteiga,17.99,15.131573
2025-03-21,Carne Coxão Mole,49.9,43.667507
2022-11-18,Leite,6.89,4.321585
2024-05-21,Banana Prata,14.9,10.296462
2024-09-13,Arroz,29.5,29.974545
2025-02-11,Pão,18.9,18.0729
2024-12-18,Leite,5.38,5.9267025
2025-05-16,Farinha,3.19,6.812833
2025-07-21,Feijão,5.9,9.171275
2023-09-18,Pão,15.89,14.727294
2025-04-22,Farinha,5.49,9.147505
2024-10-18,Feijão,6.76,8.082346
2023-11-08,Leite,4.19,4.1542206
2023-03-21,Banana Nanica,3.49,5.7818317
2022-12-14,Café,20.99,21.606241
2023-04-28,Feijão,12.89,7.474347
2023-09-22,Leite,5.99,3.991198
2023-11-27,Café,16.55,20.96369
2023-10-20,Arroz,33.29,27.505857
2023-09-25,Batata,2.99,5.225173
2024-12-16,Leite,4.99,6.303263
2025-09-12,Tomate,9.99,12.164492
2023-11-24,Café,12.9,21.056969
2024-03-11,Banana Nanica,7.99,6.3193307
2024-10-11,Tomate,5.49,9.738921
2025-09-12,Leite,9.49,8.696741
2024-01-17,Feijão,8.25,7.948767
2024-01-22,Feijão,8.89,7.688702
2023-10-16,Leite,6.99,4.1048384
2025-01-21,Farinha,5.99,7.6145434
2024-07-15,Farinha,4.59,6.6986194
2024-12-17,Banana Prata,9.88,10.808734
2025-04-22,Macarrão,3.99,5.733905
2024-02-13,Manteiga,13.99,14.169819
2025-09-22,Açúcar,4.19,4.839233
2025-07-22,Carne Pernil,26.49,23.52258
2022-12-16,Farinha,6.29,5.3029337
2024-10-15,Feijão,8.99,9.289242
2025-04-07,Farinha,6.99,8.36881
2025-05-21,Café,35.99,23.974775
2024-03-11,Arroz,35.9,29.267826
2022-09-21,Café,18.48,21.168839
2023-11-27,Farinha,5.49,4.500572
2025-05-12,Carne Coxão Mole,48.9,45.755867
2024-04-16,Farinha,5.69,5.4797034
2023-06-13,Pão,16.99,15.333016
2023-10-20,Manteiga,10.49,12.289788
2023-10-23,Manteiga,12.49,12.845041
2024-06-10,Arroz,29.9,29.233006
2024-04-19,Óleo,6.19,6.1300583
2024-03-20,Feijão,7.9,7.6649504
2025-05-14,Café,39.99,24.562336
2025-02-11,Arroz,34.9,31.224634
2025-01-14,Óleo,8.49,8.615876
2024-01-17,Açúcar,3.89,4.3196335
2023-09-18,Manteiga,14.75,12.662962
2025-06-18,Óleo,8.68,8.727823
2025-01-10,Café,29.99,24.64038
2023-11-24,Açúcar,3.89,3.138652
2023-11-14,Feijão,6.99,7.2441587
2024-02-26,Café,13.58,22.406929
2022-11-18,Banana Prata,8.19,9.203622
2022-12-16,Feijão,7.69,7.4768724
2023-11-24,Batata,4.89,5.1249332
2023-12-18,Manteiga,13.9,12.993506
2024-11-18,Banana Nanica,5.99,6.3471565
2024-09-10,Feijão,8.39,9.252201
2024-05-13,Arroz,34.99,29.408894
2023-06-19,Leite,5.15,4.4726243
2022-11-18,Café,20.48,21.463827
2025-07-16,Óleo,9.79,8.734117
2023-07-13,Banana Nanica,5.99,4.5242987
2024-02-14,Café,18.48,22.471895
2025-03-10,Açúcar,4.59,6.7962155
2023-06-13,Manteiga,11.98,13.268684
2023-04-17,Leite,5.59,3.8906643
2023-05-12,Café,17.99,20.99078
2024-08-20,Farinha,5.29,5.861792
2024-10-07,Café,21.95,22.540918
2022-10-21,Leite,6.79,4.5733757
2023-10-17,Manteiga,14.99,12.987465
2025-07-14,Carne Pernil,27.9,23.104378
2025-06-27,Arroz,29.69,31.337507
2023-02-13,Arroz,27.59,28.60986
2024-09-17,Feijão,7.99,8.151174
2023-03-10,Tomate,7.69,7.737764
2023-07-14,Farinha,5.19,3.8577068
2025-09-15,Leite,6.89,7.8534875
2024-02-13,Banana Prata,11.99,10.356468
2024-12-13,Leite,5.69,7.6211634
2023-06-14,Açúcar,4.49,2.7828593
2023-06-14,Manteiga,15.49,12.254325
2023-02-15,Pão,14.98,15.623304
2024-08-20,Arroz,34.99,29.094143
2023-07-25,Tomate,5.99,8.030347
2025-09-19,Café,30.9,22.47572
2023-07-11,Carne Coxão Mole,30.98,42.899162
2024-02-12,Café,16.65,22.768324
2024-10-09,Café,20.99,23.628326
2023-12-18,Manteiga,10.8,12.993506
2022-10-24,Café,23.9,21.458794
2024-01-17,Café,13.97,22.237953
2022-10-21,Farinha,5.29,5.252487
2024-02-16,Arroz,30.99,29.3147
2023-02-24,Arroz,23.9,27.714226
2024-11-22,Arroz,30.5,30.338724
2025-03-14,Açúcar,5.19,6.8877344
2024-08-20,Leite,4.89,5.182681
2023-02-17,Farinha,7.49,5.175139
2024-02-20,Farinha,9.59,5.943807
2025-01-14,Feijão,5.99,9.517515
2022-09-26,Farinha,5.99,4.7201695
2025-07-08,Tomate,10.9,11.5819
2024-03-19,Óleo,5.69,7.234068
2024-06-10,Pão,15.99,16.081266
2025-02-10,Tomate,8.99,10.616084
2024-03-19,Leite,5.69,5.282654
2024-11-22,Açúcar,4.29,5.651185
2023-06-20,Carne Coxão Mole,39.98,43.117443
2023-06-23,Açúcar,4.89,4.2982974
2024-02-14,Banana Prata,12.9,10.2116785
2025-04-16,Frango Sobrecoxa,16.99,16.361582
2023-10-20,Arroz,22.9,27.505857
2022-10-17,Leite,5.75,3.835453
2023-09-15,Café,20.15,21.048813
2023-11-13,Arroz,25.8,28.302567
2025-03-12,Ovo,12.99,13.113938
2024-02-12,Feijão,10.49,8.479139
2023-07-13,Óleo,5.59,5.512747
2025-04-11,Arroz,34.99,32.739647
2023-06-19,Café,16.55,21.614857
2025-08-13,Arroz,29.99,30.70872
2023-08-22,Açúcar,4.59,3.6523576
2025-08-19,Leite,5.39,7.498174
2023-08-15,Feijão,8.99,6.5083814
2024-05-15,Pão,15.9,15.68655
2023-12-18,Manteiga,9.2,12.993506
2023-10-17,Tomate,5.99,7.759845
2023-04-11,Arroz,24.9,28.790457
2024-04-09,Arroz,34.99,29.30635
2025-08-19,Óleo,8.99,9.449588
2023-07-12,Arroz,27.99,27.726715
2024-11-08,Batata,10.99,7.6204395
2024-08-09,Açúcar,4.79,5.7939963
2024-05-08,Carne Coxão Mole,47.9,43.40981
2022-09-26,Café,15.89,21.183292
2024-06-12,Óleo,5.69,7.9994836
2023-11-13,Farinha,4.99,5.0702205
2025-07-22,Leite,5.29,7.938421
2023-01-18,Açúcar,3.35,3.9442265
2024-11-19,Óleo,6.99,8.273265
2023-05-15,Batata,6.49,5.318822
2025-01-13,Banana Prata,12.9,11.69001
2023-02-27,Açúcar,3.45,3.4939177
2023-09-11,Arroz,25.99,28.083767
2022-12-16,Café,18.29,21.766064
2025-07-16,Feijão,7.1,9.635756
2023-11-08,Café,14.98,21.29645
2022-10-21,Feijão,7.99,7.426426
2023-07-13,Manteiga,12.95,12.256709
2025-08-13,Macarrão,4.19,4.062781
2024-02-20,Banana Nanica,7.99,6.227661
2024-01-19,Açúcar,3.85,4.3196335
2025-03-18,Banana Prata,12.19,12.294747
2024-04-23,Óleo,6.39,7.5275455
2025-03-18,Macarrão,5.99,4.6782403
2024-10-15,Açúcar,4.99,5.6601076
2025-03-14,Manteiga,19.99,16.359186
2023-03-14,Açúcar,3.99,4.0919013
2024-05-13,Leite,4.89,5.497428
2023-11-13,Arroz,31.9,28.302567
2023-05-12,Café,15.48,20.99078
2023-05-26,Leite,5.19,3.663674
2025-02-21,Leite,5.95,6.116131
2024-03-18,Óleo,5.75,7.234068
2025-05-21,Ovo,8.99,12.696508
2023-02-14,Óleo,8.39,6.942068
2025-04-22,Macarrão,6.99,5.733905
2025-04-22,Banana Nanica,1.99,9.431362
2024-05-08,Batata,10.9,6.7863283
2023-08-22,Arroz,23.19,28.339895
2025-06-16,Arroz,35.9,31.345884
2025-08-12,Arroz,29.99,31.403917
2025-03-17,Açúcar,5.49,6.2994165
2025-07-14,Feijão,8.99,10.373287
2024-08-23,Feijão,6.39,7.124999
2023-08-21,Farinha,5.99,5.107557
2024-05-21,Café,19.89,22.556667
2023-11-21,Manteiga,12.59,12.759284
2024-06-21,Leite,5.49,4.861112
2025-09-17,Feijão,5.1,8.186544
2023-05-10,Café,19.9,21.74776
2022-10-21,Açúcar,6.69,3.7972856
2023-04-28,Café,21.99,21.763527
2025-08-18,Farinha,4.49,7.4386597
2025-05-23,Farinha,4.79,6.501766
2025-06-16,Feijão,7.29,10.287485
2024-01-16,Café,18.39,22.076227
2024-12-20,Farinha,5.09,6.596465
2024-02-14,Feijão,9.1,8.182698
2024-09-13,Óleo,6.25,8.014496
2025-09-19,Açúcar,4.29,4.5574
2025-04-11,Batata,9.99,10.038354
2023-02-17,Açúcar,3.55,3.7199385
2024-10-15,Óleo,6.99,8.387603
2023-03-14,Arroz,24.9,28.779457
2023-07-19,Óleo,7.99,6.027649
2023-07-28,Manteiga,14.99,13.257974
2023-12-12,Banana Nanica,6.99,5.4424157
2025-03-14,Leite,6.99,7.6638236
2023-05-24,Manteiga,12.99,13.562952
2025-06-09,Leite,5.39,8.11571
2022-09-23,Óleo,8.55,6.3856525
2025-01-14,Farinha,5.99,7.3435774
2023-01-18,Batata,3.99,5.9305105
2023-10-11,Café,17.99,21.247068
2023-11-13,Feijão,9.99,7.2441587
2024-09-17,Batata,4.78,6.508315
2024-08-14,Pão,15.98,16.139095
2023-04-12,Leite,5.69,4.7698956
2024-09-24,Feijão,9.39,8.251743
2025-03-12,Macarrão,7.99,4.5155005
2022-12-14,Arroz,23.49,28.375471
2023-11-13,Açúcar,4.59,3.6150215
2024-03-20,Óleo,5.25,6.7633204
2024-02-13,Farinha,5.99,6.153557
2025-07-18,Banana Nanica,7.69,6.8155246
2025-01-14,Café,31.99,23.806692
2024-05-13,Leite,4.79,5.497428
2025-06-10,Feijão,7.98,10.9687605
2022-12-16,Batata,6.99,5.834015
2024-09-20,Manteiga,12.69,13.482223
2024-01-12,Farinha,2.69,5.075692
2023-02-15,Arroz,23.99,28.775051
2025-06-09,Manteiga,20.97,16.811092
2025-09-15,Açúcar,9.79,7.0773983
2022-10-21,Açúcar,3.95,3.7972856
2022-10-19,Café,19.9,21.257524
2024-03-11,Feijão,10.99,8.209404
2023-09-13,Arroz,23.49,27.818043
2023-12-18,Açúcar,4.39,3.5220413
2025-02-18,Arroz,29.99,30.862576
2023-01-18,Açúcar,4.19,3.9442265
2024-12-20,Café,23.88,23.059586
2025-06-11,Açúcar,4.19,6.790531
2023-10-10,Óleo,5.49,5.9183455
2024-01-23,Feijão,6.99,7.688702
2025-05-14,Farinha,4.59,8.099224
2023-01-16,Arroz,26.39,28.852957
2025-08-11,Leite,5.59,8.151239
2023-12-15,Batata,8.99,5.6621785
2023-12-11,Manteiga,13.45,13.398296
2024-07-19,Leite,5.49,4.9369974
